T,Px,Py,Pz,Vx,Vy,Vz,Roll,Pitch,Yaw,R_rate,P_rate,Y_rate,T,M1,M2,M3,Wb1,Wb2,Wb3
0,0,0,0,0,0,0,-0.7305288,-0.086703554,0.81894882,0,0,0,0,0,0,0,0,0,0
0.0001297,-0.000770074,-0.000828368,0.00437255,-4.77E-05,4.03E-05,8.01E-06,-0.015028803,-0.001794415,0.016848946,0,0,0,0,0,0,0,0,0,0
0.01108861,-0.004020022,-0.004317689,0.022740146,-0.001039502,-0.000140073,-0.003002373,-0.076795361,-0.00812978,0.08710341,0,0,0,0,0,0,0,0,0,0
0.021525621,-0.008399276,-0.009013041,0.04741323,-0.002224257,-0.000404612,-0.00685196,-0.158533615,-0.015551202,0.180995042,0,0,0,0,0,0,0,0,0,0
0.031961203,-0.013875135,-0.014888826,0.078328969,-0.001921365,-0.000188181,-0.005772367,-0.261909157,-0.02568949,0.298989057,0,0,0,0,0,0,0,0,0,0
0.042384863,-0.019326673,-0.020749215,0.109225259,-0.000585755,0.000194276,-0.001726182,-0.366884605,-0.037292446,0.417523027,0,0,0,0,0,0,0,0,0,0
0.052775621,-0.024196642,-0.026031491,0.136955655,0.001437312,-0.00224027,-0.000146605,-0.459934089,-0.047455658,0.522882661,0,0,0,0,0,0,0,0,0,0
0.063248873,-0.028847037,-0.031142183,0.163555704,0.003595992,-0.006247735,-0.000237121,-0.546158511,-0.055789934,0.621866374,0,0,0,0,0,0,0,0,0,0
0.073583126,-0.031550036,-0.034144764,0.179112313,0.003449945,-0.005514759,0.000790183,-0.596028342,-0.060683175,0.679153484,0,0,0,0,0,0,0,0,0,0
0.083969116,-0.034477125,-0.037342301,0.19587464,0.002104431,-0.002175486,0.002542569,-0.652563519,-0.067377788,0.742709917,0,0,0,0,0,0,0,0,0,0
0.094774723,-0.03902852,-0.042266231,0.221819516,0.001067935,0.000246524,0.003730274,-0.74148024,-0.078183454,0.842222464,0,0,0,0,0,0,0,0,0,0
0.105347157,-0.038678236,-0.041860413,0.219866867,0.000219143,0.001800848,0.00378385,-0.73812697,-0.079628864,0.836475938,0,0,0,0,0,0,0,0,0,0
0.115962505,-0.039532679,-0.04274926,0.224736019,-0.00025024,0.002557219,0.003605773,-0.757922704,-0.083591926,0.856912921,0,0,0,0,0,0,0,0,0,0
